
2026-01-29T18:35:25.867524601+05:30 | enp2s0 | interval_sent=0 | interval_received=998
2026-01-29T18:35:25.867635997+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:35:25.867674618+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:35:25.867717989+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:35:30.868657495+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:35:30.868758135+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:35:30.868815473+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:35:30.868849695+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:35:35.869884440+05:30 | enp2s0 | interval_sent=0 | interval_received=553
2026-01-29T18:35:35.869999747+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:35:35.870039975+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:35:35.870076990+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:35:40.871029712+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:35:40.871150745+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:35:40.871206687+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:35:40.871239093+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:35:45.872182975+05:30 | enp2s0 | interval_sent=0 | interval_received=1298
2026-01-29T18:35:45.872278377+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:35:45.872311481+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:35:45.872341582+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:35:50.873320477+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:35:50.873417345+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:35:50.873450449+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:35:50.873481109+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:35:55.874434459+05:30 | enp2s0 | interval_sent=102 | interval_received=1272
2026-01-29T18:35:55.874543340+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:35:55.874575606+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:35:55.874605987+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:36:00.875640847+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:36:00.875765512+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:36:00.875841428+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:36:00.875908894+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:36:05.876881388+05:30 | enp2s0 | interval_sent=0 | interval_received=1256
2026-01-29T18:36:05.876993552+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:36:05.877396809+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:36:05.877471887+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:36:10.878445632+05:30 | enp2s0 | interval_sent=0 | interval_received=0
